taz,stop_id,direction,dist,stop_name,time
90035027003,2503,egress,0.435788429,Franklin Ave and Opp Annawan St,8.71576858
90035027003,2504,access,0.492498321,Franklin Ave and Shultas Pl,9.84996642
90035027003,2504,egress,0.492498321,Franklin Ave and Shultas Pl,9.84996642
90035027003,2505,access,0.545039448,Franklin Ave and Benton St,10.90078896
90035027003,2505,egress,0.545039448,Franklin Ave and Benton St,10.90078896
90035027003,2506,access,0.646357889,Franklin Ave and Whitmore St,12.92715778
90035027003,2506,egress,0.646357889,Franklin Ave and Whitmore St,12.92715778
90035027003,2507,access,0.700593125,Franklin Ave and Bond St,14.0118625
90035027003,2507,egress,0.700593125,Franklin Ave and Bond St,14.0118625
90035027003,2508,access,0.769996956,Franklin Ave and Barker St,15.39993912
90035027003,2508,egress,0.769996956,Franklin Ave and Barker St,15.39993912
90035027003,2509,access,0.858745058,Franklin Ave and Adelaide St,17.17490116
90035027003,2509,egress,0.858745058,Franklin Ave and Adelaide St,17.17490116
90035027003,2510,access,0.924668054,Franklin Ave and Bushnell St,18.49336108
90035027003,2510,egress,0.924668054,Franklin Ave and Bushnell St,18.49336108
90035027003,2635,access,0.994866614,Franklin Ave and Preston St,19.89733228
90035027003,2635,egress,0.994866614,Franklin Ave and Preston St,19.89733228
90035027003,2636,access,0.927829828,Franklin Ave and Bliss St,18.55659656
90035027003,2636,egress,0.927829828,Franklin Ave and Bliss St,18.55659656
90035027003,2637,access,0.84584012,Franklin Ave and Adelaide St,16.9168024
90035027003,2637,egress,0.84584012,Franklin Ave and Adelaide St,16.9168024
90035027003,2638,access,0.758259517,Franklin Ave and Barker St,15.16519034
90035027003,2638,egress,0.758259517,Franklin Ave and Barker St,15.16519034
90035027003,2639,access,0.705583279,Franklin Ave and Bond St,14.11166558
90035027003,2639,egress,0.705583279,Franklin Ave and Bond St,14.11166558
90035027003,2640,access,0.635223983,Franklin Ave and Elliott St,12.70447966
90035027003,2640,egress,0.635223983,Franklin Ave and Elliott St,12.70447966
90035027003,2641,access,0.501613032,Franklin Ave and Shultas Pl,10.03226064
90035027003,2641,egress,0.501613032,Franklin Ave and Shultas Pl,10.03226064
90035027003,2642,access,0.446868998,Franklin Ave and Annawan St,8.93737996
90035027003,2642,egress,0.446868998,Franklin Ave and Annawan St,8.93737996
90035027003,2643,access,0.394694616,Franklin Ave and Maple Ave,7.89389232
90035027003,2643,egress,0.394694616,Franklin Ave and Maple Ave,7.89389232
90035027003,2723,access,0.572362511,Wethersfield Ave and 25-27 Wethersfield Ave,11.44725022
90035027003,2723,egress,0.572362511,Wethersfield Ave and 25-27 Wethersfield Ave,11.44725022
90035027003,2758,access,0.565757546,Wethersfield Ave and Morris St,11.31515092
90035027003,2758,egress,0.565757546,Wethersfield Ave and Morris St,11.31515092
90035027003,2759,access,0.57765485,Wethersfield Ave and Alden St,11.553097
